"state","year","month","outage_count","max_outage_duration","customer_weighted_hours"
"OH",2015,3,289,153.75,668116.25
"OH",2015,4,458,17.75,779938.5
"OH",2015,5,527,38.5,1558813.5
"OH",2015,6,862,34,1783434
"OH",2015,7,589,26.75,1581312
"OH",2015,8,389,22.5,838759
"OH",2015,9,377,34.75,1018624
"OH",2015,10,391,33.5,896783
"OH",2015,11,389,51,604060.25
"OH",2015,12,351,66.5,649483.75
"OK",2015,0,1757,236.5,9242969.75
"OK",2015,1,42,9.25,40345
"OK",2015,2,51,4,49742.5
"OK",2015,3,45,44.5,498646.5
"OK",2015,4,102,37.75,168202.75
"OK",2015,5,309,30.5,655753.25
"OK",2015,6,204,8.75,202350.5
"OK",2015,7,163,19,258291.25
"OK",2015,8,166,9.5,179527.75
"OK",2015,9,185,12.5,181126.75
"OK",2015,10,129,15.75,190923.5
"OK",2015,11,134,236.5,1975403
"OK",2015,12,227,91.25,4842657
"OR",2015,0,625,73.25,2878338.5
"OR",2015,1,24,18,136139.25
"OR",2015,2,35,11.25,96538.5
"OR",2015,3,46,19.25,664846.25
"OR",2015,4,19,13.5,49977.25
"OR",2015,5,28,11.5,135667.5
"OR",2015,6,62,11.5,78917
"OR",2015,7,74,12,104020.75
"OR",2015,8,73,23.25,368621
"OR",2015,9,65,8.75,53895.75
"OR",2015,10,36,14,124642.5
"OR",2015,11,70,73.25,453827.75
"OR",2015,12,93,48.25,611245
"PA",2015,0,6832,76.75,16277124.75
"PA",2015,1,378,18,510372.25
"PA",2015,2,407,27.5,582220
"PA",2015,3,515,38.5,608505
"PA",2015,4,557,27.5,907861.25
"PA",2015,5,565,76.75,932412
"PA",2015,6,1312,50.5,8136935.25
"PA",2015,7,664,19,1070981
"PA",2015,8,537,19,685572
"PA",2015,9,564,20.25,715597
"PA",2015,10,532,37.25,885709.5
"PA",2015,11,432,27,490162
"PA",2015,12,369,45,750797.5
"RI",2015,0,285,49,2852870.75
"RI",2015,1,14,4,13845.75
"RI",2015,2,12,2,16693.25
"RI",2015,3,25,5.75,24570.25
"RI",2015,4,20,4.75,22650.5
"RI",2015,5,19,6,17553.5
"RI",2015,6,31,7.5,69101.75
"RI",2015,7,38,7,83732.75
"RI",2015,8,45,49,2502969.75
"RI",2015,9,23,5.25,24323.25
"RI",2015,10,27,4.5,43853
"RI",2015,11,15,2.5,13317.25
"RI",2015,12,16,3.25,20259.75
"SC",2015,0,1980,89.75,6104528.75
"SC",2015,1,104,12,202565.5
"SC",2015,2,221,32.5,1988782.25
"SC",2015,3,96,8.5,113098.25
"SC",2015,4,120,14,135342
"SC",2015,5,156,9.25,183587.75
"SC",2015,6,228,23.75,422250.5
"SC",2015,7,202,31.75,461505.5
"SC",2015,8,192,89.75,971816.25
"SC",2015,9,160,34.75,330286.75
"SC",2015,10,274,37.5,1049905.5
"SC",2015,11,115,21.5,123527.5
"SC",2015,12,112,7.75,121861
"SD",2015,0,80,12.25,112855.25
"SD",2015,1,0,0,0
"SD",2015,2,0,0,0
"SD",2015,3,0,0,0
"SD",2015,4,0,0,0
"SD",2015,5,9,4.25,7039.75
"SD",2015,6,28,4.75,41591
"SD",2015,7,8,3,6180
"SD",2015,8,13,5.25,23386.5
"SD",2015,9,8,2.75,8608
"SD",2015,10,5,4,8043.75
"SD",2015,11,3,12.25,15094.5
"SD",2015,12,6,2.25,2911.75
"TN",2015,0,1595,75.5,5484261.75
"TN",2015,1,70,16,79775.75
"TN",2015,2,145,52.5,1372908
"TN",2015,3,85,11.5,136511.75
"TN",2015,4,126,17.5,217965.25
"TN",2015,5,134,14.5,273633.25
"TN",2015,6,212,22.25,423888.25
"TN",2015,7,222,51,946163.25
"TN",2015,8,129,75.5,1094421.5
"TN",2015,9,119,15.5,169361.75
"TN",2015,10,114,19.5,117655.75
"TN",2015,11,103,23.5,361290.5
"TN",2015,12,136,18.75,290686.75
"TX",2015,0,8972,98.5,21915409.5
"TX",2015,1,1388,98.5,3688543.25
"TX",2015,2,606,29.75,782079
"TX",2015,3,520,36.25,582798
"TX",2015,4,1248,51.25,4084173.5
"TX",2015,5,1641,48.5,6773505.75
"TX",2015,6,1206,22.75,2190494.75
"TX",2015,7,883,26.75,1175535
"TX",2015,8,400,23.25,701567.25
"TX",2015,9,187,9.25,214613.25
"TX",2015,10,299,33.25,548777.75
"TX",2015,11,282,12.25,401950.5
"TX",2015,12,312,58.25,771371.5
"VT",2015,0,637,15.5,745691.25
"VT",2015,1,60,7.25,78196
"VT",2015,2,16,4.25,13571
"VT",2015,3,42,6.25,44087.5
"VT",2015,4,56,5.75,55528.5
"VT",2015,5,63,8.75,77227.25
"VT",2015,6,93,11.75,96023
"VT",2015,7,67,15.5,113500.75
"VT",2015,8,53,7.5,52819.75
"VT",2015,9,49,7.75,45691.25
"VT",2015,10,57,12,64878.25
"VT",2015,11,34,7,41026.75
"VT",2015,12,47,10,63141.25
"VA",2015,0,4741,39.25,7779476.5
"VA",2015,1,112,9.25,146320.25
"VA",2015,2,236,21.5,346861.25
"VA",2015,3,80,12.25,80240
"VA",2015,4,236,20.75,267905
"VA",2015,5,351,11.75,348857.75
"VA",2015,6,867,34.25,2449247.25
"VA",2015,7,541,39.25,1184964.25
"VA",2015,8,382,22.5,412608
"VA",2015,9,715,19.5,848215
"VA",2015,10,531,31.5,880817.5
"VA",2015,11,324,12.25,411943.5
"VA",2015,12,366,14,401496.75
"WA",2015,0,1071,199.5,25832638
"WA",2015,1,21,25.75,169501.5
"WA",2015,2,12,9.5,18127.25
"WA",2015,3,21,10,42612.75
"WA",2015,4,14,9.75,23900.25
"WA",2015,5,39,12.75,74986.5
"WA",2015,6,53,12.75,86741.5
"WA",2015,7,55,16.75,91158.25
"WA",2015,8,135,199.5,6254311.5
"WA",2015,9,106,11.25,235957.75
"WA",2015,10,173,20.5,997900.5
"WA",2015,11,237,69.25,16049962.5
"WA",2015,12,205,110.25,1787477.75
"WV",2015,0,3642,69,15397789.5
"WV",2015,1,211,35.25,476201
"WV",2015,2,253,23.5,671913.75
"WV",2015,3,339,65.25,5586040.75
"WV",2015,4,319,22.25,748118.5
"WV",2015,5,300,28,747657
"WV",2015,6,584,24.75,1597745.75
"WV",2015,7,527,69,2889340.5
"WV",2015,8,206,23.75,544137.75
"WV",2015,9,183,16,312864.25
"WV",2015,10,230,33.25,601611.5
"WV",2015,11,275,13.25,609381.75
"WV",2015,12,215,25,612777
"WI",2015,0,1887,31.25,3700525
"WI",2015,1,70,14,81356.75
"WI",2015,2,97,6.5,139257
"WI",2015,3,62,7,103489
"WI",2015,4,96,13.75,123247.5
"WI",2015,5,111,8.75,121962.5
"WI",2015,6,255,17.75,557701.25
